선물로 샀는데 저도 사고 싶어요,date,review,rating,tokens
10,25.04.09.,"큰 텀블러를 사용 중이라서 선물용으로 구매했습니다. 살짝 무게감은 있지만 색감도 예쁘고 기능도 최고라고 생각합니다! 가격대는 텀블러치고 있지만 오래 쓴다고 생각하면 아깝지 않아요! 추천합니다! 큰 텀블러는 물을 많이 먹을 수 있어서 좋지만 물을 많이 먹는 사람이 아니라면 작은 텀블러 추천드려요!!
",5,"['크다', '텀블러', '사용', '중이', '선물', '용', '구매', '살짝', '무게', '감다', '색감', '예쁘다', '기능', '최고', '생각', '가격', '텀블러', '쓴다', '생각', '아깝다', '않다', '추천', '크다', '텀블러', '물', '먹다', '좋다', '물', '먹다', '사람', '아니다', '작다', '텀블러', '추천', '드리다']"
11,25.05.02.,제품 받았는데 제품에 스크래치가 있어요 문의했더니 불량은 아니라네요.. cs 응대가 불친절하고 너무 별로예요.. 교환받기 귀찮아서 그냥 씁니다,1,"['제품', '받다', '제품', '스크래치', '문의', '불량', '아니다', '응대', '불친절하다', '별로', '교환', '받다', '귀찮다', '그냥', '쓰다']"
12,25.04.30.,스탠리는 사계절 좋아요! 겨울엔 차 먹어도 따뜻하고 여름엔 시원한 음료 마시기 너무 좋아요~ 만족합니다!,5,"['스탠리', '사계절', '좋다', '겨울', '차', '먹다', '따뜻하다', '여름', '시원하다', '음료', '마시기', '좋다', '만족하다']"
13,25.05.01.,디자인 너무 예쁘고 적당히 커서 좋아요 빨대 넣는 곳이고 고정되어 있어서 움직이지도 않고 완벽합니다!!,5,"['디자인', '예쁘다', '적당하다', '커서', '좋다', '빨대', '넣다', '곳', '고정', '움직이다', '않다', '완벽하다']"
14,25.05.05.,"물건 받고 확인했는데 이런 결함이 있네요..
사용하는데 문제는 없지만 조금 아쉽습니다",3,"['물건', '받다', '확인', '이렇다', '결함', '사용', '문제', '없다', '아쉽다']"
15,25.04.27.,저녁 7시 반쯤 얼음 넣고 다음날 아침 9시에 확인했는데 얼음이 남아 있어요 색상도 너무 이쁘고 맘에 들어요,5,"['저녁', '반', '쯤', '얼음', '넣다', '날', '아침', '확인', '얼음', '남아', '색상', '이쁘다', '맘', '들다']"
16,25.04.08.,"887ml 2개 사서 남편이랑 2년째 너무 잘 쓰고 있어 가볍게 들고 다닐 작은 사이즈 하나 더 구매했어요. 스탠리는 말이 필요 없죠~ 특히 여름에 하루 종일 얼음이 녹지 않는 대단한 아이죠^^
색상도 예쁘고 흠집도 안 나요. 씻기도 편하고요. 요즘 ESG 캠페인 동참하려고 항상 가방에 넣어 다녀요~ 잘 쓰고 있어요^^",5,"['사서', '남편', '자다', '쓰다', '가볍다', '들다', '다니다', '작다', '사이즈', '더', '구매', '스탠리', '말', '필요', '없다', '여름', '하루', '종일', '얼음', '녹지', '않다', '대단하다', '색상', '예쁘다', '흠집', '안', '씻다', '편하다', '요즘', '캠페인', '동참', '항상', '가방', '넣다', '다니다', '자다', '쓰다']"
17,25.04.24.,아이가 원해서 사줬는데 실물 보니 가볍고 이쁘네요~^^ 파손이나 결함 없이 잘 써지면 좋겠네요~,5,"['원하다', '사주다', '실물', '보다', '가볍다', '이쁘다', '파손', '결함', '자다', '써다', '좋다']"
18,25.04.18.,스벅에서 산 스탠리 텀블러 잘 쓰고 있었는데 계속 쓰다 보니 바깥에 있는 코팅이 자꾸 벗겨지더라고요 남색 텀블러인데 자꾸 코팅이 벗겨지니 보기가 좀 그래서 이번에 새로 샀습니다 흰색으로 샀는데 너무 깔끔하고 이쁘네요,5,"['스벅', '산', '스탠리', '텀블러', '자다', '쓰다', '계속', '쓰다', '보다', '바깥', '코팅', '자꾸', '벗겨지다', '남색', '텀블러', '자꾸', '코팅', '벗겨지다', '보기', '새롭다', '사다', '흰색', '사다', '깔끔하다', '이쁘다']"
19,25.05.03.,색이 약간 레몬색이네요 튼튼해 보이고 너무 맘에 듦. 사용 전에 식세기 한 번 돌리고 사용해 볼게요,5,"['색', '레몬', '색', '튼튼하다', '보이', '맘', '들다', '사용', '전', '식', '세기', '번', '돌리다', '사용', '보다']"
20,25.04.12.,"요즘 가장 잘 쓰는 아이템이예요. 디자인은 심플하지만 세련되고, 무엇보다 보온·보냉력이 정말 좋아서 하루 종일 음료 온도를 유지해 줘요. 뚜껑도 밀폐력이 좋아서 가방에 넣고 다녀도 샐 걱정이 없고, 빨대도 튼튼해서 사용감이 좋아요. 무게감은 살짝 있지만 그만큼 튼튼해서 오래 쓸 수 있을 것 같아요. 만족도 높은 텀블러예요!",5,"['요즘', '가장', '자다', '쓰다', '아이템', '디자인', '심플', '세련되다', '보온', '보냉', '정말', '좋다', '하루', '종일', '음료', '온도', '유지', '주다', '뚜껑', '밀폐', '좋다', '가방', '넣다', '다니다', '새다', '걱정', '없다', '빨대', '튼튼하다', '용감', '좋다', '무게', '감다', '살짝', '튼튼하다', '쓸다', '만족도', '높다', '텀블러']"
21,25.04.12.,"봄하고 어울리는 색이에요. 아주 이뻐요
다만 제가 손이 작아서인가 그립감이 좀 불편해요. 다른 건 맘에 들어요",5,"['봄', '어울리다', '색', '아주', '이쁘다', '손', '작다', '서인', '그리다', '감', '불편하다', '맘', '들다']"
22,25.05.04.,"너무 예쁘고요 보냉이 잘 돼요
얼음이 다음날에도 살아있어요",5,"['예쁘다', '보', '냉이', '자다', '얼음', '날', '살다']"
23,25.04.29.,현대인의 필수품인 텀블러를 이렇게 합리적인 가격에 이쁜 디자인을 얻을 수 있어서 좋아요! 잘 사용하겠습니다!,5,"['현대인', '필수품', '텀블러', '합리', '가격', '이쁘다', '디자인', '얻다', '좋다', '자다', '사용']"
24,25.05.02.,친구 생일 선물로 사줬는데 매일 들고 다닌다고 인증샷까지! 아주 좋아하네요~,5,"['친구', '생일', '선물', '사주다', '매일', '들다', '다니다', '인증샷', '아주', '좋아하다']"
25,25.05.03.,500이랑 1리터짜리랑 같이 두니까 상대적으로 작아 보이는데 용량 충분하고 색 너무 예뻐요,5,"['리터', '리', '두', '상대', '작다', '보이다', '용량', '충분하다', '색', '예쁘다']"
26,25.05.01.,"친구 선물로 해줬는데 집이 아주 깔 맞춤이네요. ㅋ
친구가 너무너무 좋아해요. 이쁘고 기능도 좋다고",5,"['친구', '선물', '해주다', '집', '아주', '깔다', '맞추다', '친구', '좋아하다', '이쁘다', '기능', '좋다']"
27,25.04.30.,"스탠리 텀블러 써보고 너무 좋아서 친구 선물로 구매했어요!
사진은 제 텀블러 사진으로 대신합니다~",5,"['스탠리', '텀블러', '써다', '보고', '좋다', '친구', '선물', '구매', '사진', '텀블러', '사진', '대신']"
28,25.04.27.,분홍색 크게 좋아하진 않는데 이게 젤 인기 많아서 샀어요 근데 왜 그런지 알 거 같네요 너무 예뻐요...,5,"['분홍색', '크게', '좋아하다', '않다', '젤', '인기', '많다', '사다', '그렇다', '알', '예쁘다']"
29,25.04.18.,"중학생 딸이 사 달라 해서 구매했어요.
완벽 밀폐는 아니지만 가지고 다닐만한가 봅니다. 제가 스탠리 마니아라 울 집에 4개나 있는데 요즘엔 또 퀘츠가 대세인가 봐요. 뭐 보온력이야 말할 거 없고~ 591사이즈 작진 않지만 손잡이 없어서 덜 짐스럽습니다.",5,"['중학생', '딸', '달라', '구매', '완벽', '밀폐', '아니다', '가지', '다니다', '보다', '스탠리', '마니아', '울', '집', '요즘', '퀘츠', '대세', '보다', '뭐', '보온', '말', '없다', '사이즈', '작다', '않다', '손잡이', '없다', '덜', '짐', '스럽다']"
30,25.05.01.,딱 생각한 대로 예쁜 색깔이 왔네요 ㅎㅎ 맘에 듭니다~ 여름에 잘 쓸게요 ㅎㅎ,5,"['생각', '대로', '예쁘다', '색깔', '오다', '맘', '듭니', '여름', '자다', '쓸다']"
31,25.04.30.,딸이 너무 좋아하네요 학생들 사이에서도 인기짱입니다,5,"['딸', '좋아하다', '학생', '사이', '인기']"
32,25.04.26.,작은 용량이 들고 다니기 더 편한 거 같아요 만족하면서 쓰는 중이요 디자인도 이쁩니다?,5,"['작다', '용량', '들다', '다니다', '더', '편하다', '만족하다', '쓰다', '중이', '디자인', '이쁘다']"
33,25.04.26.,"코카콜라 뚱캔처럼 뚱뚱해서 잡기 불편한데
이 사이즈가 커피 테이크 잔으로 쓰기도 적당하고 해서 구입했네요. 민트가 품절이라 이걸로 샀는데 얘도 괜찮",5,"['코카콜라', '뚱캔', '뚱뚱하다', '잡기', '불편하다', '사이즈', '커피', '테이크', '잔', '쓰기', '적당하다', '구입', '민트', '품절', '사다', '얘', '괜찮다']"
34,25.04.25.,"요즘 엄청 잘 쓰고 있습니다 ㅎㅎ
최근 잘산템 중 하나에요!!
색상도 더워지는 날씨에 맞는 시원한 하늘색이라 맘에 듭니다
얼음 음료 엄청 오래가요 ㅋㅋㅋ",5,"['요즘', '자다', '쓰다', '최근', '잘살다', '템', '색상', '더워지다', '날씨', '맞다', '시원하다', '하늘색', '맘', '듭니', '얼음', '음료']"
35,25.05.06.,이미 자꾸 사는중ㅎㅎ 자꾸 컬러별로 사고 싶어서 문제 너무 예뻐요,5,"['자꾸', '살다', '자꾸', '컬러', '별로', '사고', '문제', '예쁘다']"
36,25.05.03.,진짜 안에 얼음이 하루가 지나도 안 녹네요 최고입니다,5,"['진짜', '안', '얼음', '하루', '지나다', '안', '녹다', '최고']"
37,25.05.03.,"사이즈도 적당하고 생각보다 한 손으로 들고 있기도 편해요
색깔 이쁘네요",5,"['사이즈', '적당하다', '생각', '손', '들다', '편하다', '색깔', '이쁘다']"
38,25.03.29.,원래 1.25L 썼었는데 너무 무거워서... 작은 거 써보고 싶어서 구매했어요!!! 작은 거라서 사실 보온 보냉은 기대 안 했는데 새벽 5시에 넣었던 얼음이 밤 10시까지 안 녹는 거 있죠!! 디자인도 기능성도 압도적인 스탠리 텀블러.... 항상 애용 중입니다 아아??,5,"['원래', '써다', '무거워', '작다', '써다', '보고', '구매', '작다', '사실', '보온', '보냉', '기대', '안', '새벽', '넣다', '얼음', '밤', '안', '녹다', '디자인', '기능', '성도', '압도', '스탠리', '텀블러', '항상', '애용', '아아']"
39,25.05.03.,스탠리 텀블러 기능도 좋고 색깔도 이쁘고 좋네요!,5,"['스탠리', '텀블러', '기능', '좋다', '색깔', '이쁘다', '좋다']"
40,25.04.27.,밀봉까지는 아니어도 물이 너무 잘 새네요. 아이 가방이 다 젖어요. 다른 걸로 추가 구매해야 할 듯요,3,"['밀봉', '아니다', '물이', '자다', '새다', '가방', '젖다', '추가', '구매']"
41,25.04.29.,색이 예뻐서 좋아요 선물용으로 샀는데 마음에 들어요,5,"['색', '예쁘다', '좋다', '선물', '용', '사다', '마음', '들다']"
42,25.05.06.,친구 생일 선물로 줬는데 이쁘다고 마음에 들어 하네요,5,"['친구', '생일', '선물', '주다', '이쁘다', '마음', '들다']"
43,25.05.02.,"
고민하다 세일해서 샀어요 스탠리 좋아요",5,"['고민', '세', '일해', '사다', '스탠리', '좋다']"
44,25.04.24.,선물 받은 딸이 마음에 들어 하네요. 깔끔하고 세척하기도 편합니다.,5,"['선물', '받다', '딸', '마음', '들다', '깔끔하다', '세척', '편하다']"
45,25.04.27.,한 개 사서 써보고 너무 좋아서 다른 색으로 하나 더 샀어요 사이즈가 딱이에요,5,"['사서', '써다', '보고', '좋다', '색', '더', '사다', '사이즈', '딱이다']"
46,25.05.02.,색깔 쨍하게 예쁜 색상에 보냉 보온도 잘 돼서 운동할 때 가지고 다니기 좋아요~~,5,"['색깔', '쨍하', '예쁘다', '색상', '보냉', '보온', '자다', '운동', '가지', '다니다', '좋다']"
47,25.04.28.,"작년 여름부터 스탠리 텀블러를 정말 잘 사용하고 있어요!
얼음이 녹지도 않고 시원함이 유지됩니다!!",5,"['작년', '여름', '스탠리', '텀블러', '정말', '자다', '사용', '얼음', '녹지', '않다', '시원하다', '유지']"
48,25.05.01.,성능은 말할 것 없고 너무 좋아요 잘 사용하고 있어요,5,"['성능', '말', '없다', '좋다', '자다', '사용']"
49,25.04.26.,두 번째 구매입니다. 손잡이가 없어서 불편하지만 사무실에 놔두고 쓰기 좋아요,5,"['두', '구매', '손잡이', '없다', '불편하다', '사무실', '놔두다', '쓰기', '좋다']"
50,25.04.16.,배송도 빨리 왔고 하자 없이 깔끔하게 잘 포장되어와서 좋았습니다! 색도 화면이랑 같아서 너무 예뻐요! 이제 슬슬 여름도 다가오는데 시원한 음료 담아서 잘 사용하겠습니다!,5,"['배송', '오다', '하자', '깔끔하다', '자다', '포장', '서다', '좋다', '색도', '화면', '예쁘다', '이제', '슬슬', '여름', '다가오다', '시원하다', '음료', '담다', '자다', '사용']"
51,25.04.23.,"일단 은은한 파스텔톤 색상이 맘에 들어요?? 
그립감도 좋고 잘 쓸게요",5,"['은은하다', '파스텔', '톤', '색상', '맘', '들다', '그리다', '감다', '좋다', '자다', '쓸다']"
52,25.04.04.,"색상 고민을 했는데 너무 이뻐요~~~??
봄이라 봄봄스럽네여~ 전 너무 큰 텀블러는
감당이 안 돼서 찾아보다가 구매했는데 너무
사이즈도 좋고! 가격도 저렴히 잘 샀어요",5,"['색상', '고민', '이쁘다', '봄', '봄봄', '스럽다', '전', '크다', '텀블러', '감당', '안', '찾아보다', '구매', '사이즈', '좋다', '가격', '저렴하다', '자다', '사다']"
53,25.04.03.,"고등학생 딸이 물병 가지고 다니다가 친구들의 추천으로 구매했어요. 텀블러가 많이 무겁지 않고 특히 빨대 세척이 너무 편합니다. 저도 스탠리 텀블러
구매각입니다~^^",5,"['고등학생', '딸', '물병', '가지', '다니다', '친구', '추천', '구매', '텀블러', '무겁다', '않다', '빨대', '세척', '편하다', '스탠리', '텀블러', '매각']"
54,25.04.28.,세척을 못해서 아직 미사용이지만 디자인 이쁘고 출산할 때 병원에서 쓰려고 가져갈 참이에요,5,"['세척', '미사', '용이', '디자인', '이쁘다', '출산', '병원', '쓰다', '가져가다', '차다']"
55,25.04.30.,좋아요~~ 색상 예쁘고 잘 쓰겠습니다!,5,"['좋다', '색상', '예쁘다', '자다', '쓰다']"
56,25.04.26.,말로만 듣던 스탠리!! 곧 다가오는 여름을 대비해 하나 장만했습니다 너무 이뻐요,5,"['말로', '듣다', '스탠리', '다가오다', '여름', '대비', '장만', '이쁘다']"
57,25.05.03.,용량도 크고 색상도 정말 마음에 들어요 좋아요,5,"['용량', '크다', '색상', '정말', '마음', '들다', '좋다']"
58,25.05.05.,용량도 크고 가벼워서 좋아요.,5,"['용량', '크다', '가볍다', '좋다']"
59,25.04.28.,오래 차갑고 좋아요 커플 텀블러 하기 좋아요,5,"['차갑다', '좋다', '커플', '텀블러', '좋다']"
60,25.05.01.,스탠리 더 큰 사이즈 쓰다가 무거운 거 같아서 작은 사이즈로 샀는데 좋아요,5,"['스탠리', '더', '크다', '사이즈', '쓰다', '무겁다', '작다', '사이즈', '사다', '좋다']"
61,25.04.19.,"커피값 아껴보려고 텀블러 주문했어요ㅎㅎ 역시 얼음이 잘 안 녹네요 만족합니다! 원하던 색은 품절이라 아쉬웠지만, 요것도 색 이쁘네요!!",5,"['커피', '값', '아끼다', '보다', '텀블러', '주문', '역시', '얼음', '자다', '안', '녹다', '만족하다', '원하다', '색', '품절', '아쉽다', '요것', '색', '이쁘다']"
62,25.03.17.,글라시에 591은 리뷰가 없어서 고민 많이 하다 샀는데 너무 잘 산 거 같아요???? 크림색 할까 하다가 색 있는 게 좋을 거 같아서 샀는데 굿입니다 원래 있던 로즈 쿼츠랑 같이 두면 더 예뻐요... 저건 엄마 건데 번갈아가면서 쓰려고요ㅎㅎㅎ 색 고민 중이라면 글라시에 꼭 사세요!!!,5,"['글', '라시', '리뷰', '없다', '고민', '사다', '자다', '산', '크림', '색', '색', '좋다', '사다', '굿', '원래', '즈', '쿼츠', '두다', '더', '예쁘다', '저건', '엄마', '번갈아', '가면', '쓰다', '색', '고민', '중이', '라면', '글', '라시', '꼭', '사다']"
63,25.04.18.,"어둡게 찍혀서 그렇지
은은한 핑크라 부담스럽지 않고 작은 사이즈지만
생각보다 크게 느껴져서 저는 이 사이즈가 딱 좋은 것 같아요 ㅎㅎ 예쁨예쁨 ????",5,"['어둡다', '찍히다', '그렇다', '은은하다', '핑크', '부담', '않다', '작다', '사이즈', '생각', '크게', '느껴지다', '사이즈', '좋다', '예쁘다', '예쁘다']"
64,25.04.19.,"너무 큰 사이즈는 부담스러워서 골랐는데, 적당해서 마음에 들어요. 색도 너무 화사하고 예쁜 연노랑이에요.",5,"['크다', '사이즈', '부담스럽다', '고르다', '적당하다', '마음', '들다', '색도', '화사하다', '예쁘다', '연', '노랑']"
65,25.04.25.,많이 고민하다 구매했는데 얼음도 오래가고 잘 산 거 같아요ㅎㅎ 색상도 너무 이쁘네요~~,4,"['고민', '구매', '얼음', '자다', '산', '색상', '이쁘다']"
66,25.04.24.,얼음이 정말로 안 녹아요 일하는 내내 얼음 담긴 음료를 즐길 수 있음 대만족,5,"['얼음', '안', '녹다', '내내', '얼음', '담기다', '음료', '즐기다', '대', '만족']"
67,25.04.27.,선물 받았는데 너무나도 좋아요!! 잘 사용하고 있습니다,5,"['선물', '받다', '좋다', '자다', '사용']"
68,25.05.04.,색상이 이쁩니다 여러 번 나눠 샀어요,5,"['색상', '이쁘다', '여러', '번', '나누다', '사다']"
69,25.04.24.,더 큰 사이즈를 사용하고 있는데 보냉 효과는 좋은데 너무 커서 휴대용으로 하나 더 장만하고자 구매하게 되었습니다! 가격은 좀 있지만 기능성이 너무 좋아서 쓰게 되네요~ 색상도 너무 예뻐서 만족합니다^^,5,"['더', '크다', '사이즈', '사용', '보냉', '효과', '좋다', '커서', '휴대', '용', '더', '장만', '구매', '가격', '기능', '좋다', '쓰다', '색상', '예쁘다', '만족하다']"
70,25.04.24.,가볍고 예쁘네요~! 사이즈도 너무 큰 건 싫어서 선택했는데 잘 산 것 같습니다!,5,"['가볍다', '예쁘다', '사이즈', '크다', '싫다', '선택', '자다', '산']"
72,25.05.04.,배달이 빠르고 좋아요,5,"['배달', '빠르다', '좋다']"
73,25.04.22.,스탠리 텀블러 좋습니다 잘 쓸께요 가격은 너무 비싸요,5,"['스탠리', '텀블러', '좋다', '자다', '쓸다', '가격', '비싸다']"
74,25.04.11.,"회사 지인 생일 선물로 고민하고 골라서 구매했는데 사진에서 보는 색이랑 똑같고 여름 컬러로 딱이에요 다행히 지인이 엄청 좋아합니다!!
정품으로 잘 산 것 같아요:)",5,"['회사', '지인', '생일', '선물', '고민', '골', '구매', '사진', '보다', '색', '똑같다', '여름', '컬러', '딱이다', '다행하다', '지인', '좋아하다', '정품', '자다', '산']"
75,25.04.02.,작년부터 살까 말까 정말 많이 고민했던 스탠리 텀블러... 드디어 샀습니다! 사실 작년까지는 텀블러를 거의 쓸 일이 없어서 사고 싶다고 생각만 하고 미뤄뒀었는데 올해는 여기저기 들고 다닐 일이 많을 것 같아 구매했어요. 아직 사용 전이지만 워낙 보온/보냉이 잘 된다고 유명한 텀블러라 기대가 됩니다. 야무지게 잘 써볼게요??,5,"['작년', '살다', '말다', '정말', '고민', '스탠리', '텀블러', '사다', '사실', '작년', '텀블러', '쓸다', '일이', '없다', '사고', '생각', '미루다', '두다', '올해', '여기저기', '들다', '다니다', '일이', '많다', '구매', '사용', '전이', '워낙', '보온', '보', '냉이', '자다', '유명하다', '텀블러', '기대', '야무지다', '자다', '써다', '보다']"
76,25.05.04.,쓰던게 오래되고 보냉도 안되서 재구매 했습니다,5,"['쓰다', '오래되다', '보냉', '안되다', '재다']"
77,25.04.04.,"사진보다 색깔이 더 예뻐요!! 뚜껑이 많이 뻑뻑해서 소리가 많이 났는데 쓰다 보면 괜찮아지겠죠?!
지난달 초에 봤을 때보다 가격이 많이 올라서 고민했는데 할인 쿠폰 써서 잘 샀어요! 좋아요~~",5,"['사진', '색깔', '더', '예쁘다', '뚜껑', '뻑뻑', '소리', '쓰다', '보다', '괜찮다', '지난달', '초', '보다', '가격', '올라서다', '고민', '할인', '쿠폰', '써다', '자다', '사다', '좋다']"
78,25.04.06.,"세일해서 구매했어요
손잡이가 있는 게 편할 듯요
591손잡이 있는 건 직구로 사야 해서 너무 비싸요ㅠㅠ
색은 이쁘고 중학생이 들고 다니기 크기도 좋아요",5,"['세', '일해', '구매', '손잡이', '편하다', '손잡이', '직구', '사다', '비싸다', '색', '이쁘다', '중학생', '들다', '다니다', '크기', '좋다']"
79,25.04.12.,운동하면서 물 마시려고 샀는데 완전 밀폐 안되는 게 좀 아쉽긴 해요 여름에 시원함이 오래 유지될 거라 기대합니다??,5,"['운동', '물', '말다', '사다', '완전', '밀폐', '안되다', '아쉽다', '여름', '시원하다', '유지', '기대하다']"
80,25.05.02.,딱 생각했던 색이라서 너무 마음에 들어요!,5,"['생각', '색', '마음', '들다']"
81,25.05.04.,쓰던 게 오래되고 보냉이 안돼서 재구매 했어요~,5,"['쓰다', '오래되다', '보', '냉이', '재다']"
82,25.04.21.,"딸 주려고 주문했어요~~~
엄마랑 커플 색이라고 좋아해요!
튼튼하니 좋습니다",5,"['딸', '주', '려고', '주문', '엄마', '커플', '색', '좋아하다', '튼튼하다', '좋다']"
83,25.04.11.,색 너무 이뻐요.... 이거보다 더 큰 건 무겁더라고요 들고 다니기도 괜찮아요. 아아 먹기 딱 좋아요. 물도 더 많이 먹게 되고요,5,"['색', '이쁘다', '더', '크다', '무겁다', '들다', '다니다', '기도', '괜찮다', '아아', '먹기', '좋다', '물', '더', '먹다']"
84,25.04.26.,이쁘네요 좋아요 생각보다 커요,4,"['이쁘다', '좋다', '생각', '크다']"
85,25.04.23.,실물이 진짜 예뻐요!! 글라시에 컬러 추천합니다,5,"['실물', '진짜', '예쁘다', '글', '라시', '컬러', '추천']"
